C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_5-6.xdf,12.12.24,15:40:41,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,375,0.1177311,0.098944,375,0.0026125,-0.0017703,375,0.0008159,-0.0006486,375,0.0012284,-0.0020156,375,19.5261822,1.565823,375,-3.6781518,-2.8051538
,381.25,-0.1593363,0.0492643,381.25,-0.0051448,-0.0020712,381.25,-0.0033946,-0.0011177,381.25,-0.0008312,0.0016539,381.25,-10.7698536,4.1665435,381.25,24.9633331,20.9013424
,387.5,0.1738142,-0.1033532,387.5,0.0042948,0.0058817,387.5,0.0046291,0.0027193,387.5,0.0005606,-0.0005504,387.5,-0.0343496,-4.8556404,387.5,-37.884613,-25.9014606
,393.75,-0.1084141,-0.000066,393.75,-0.0015209,-0.0043225,393.75,-0.0010347,-0.0042217,393.75,-0.0016816,0.0008692,393.75,4.7556877,-3.5837462,393.75,6.9129167,24.8247032
,400,0.037806,-0.0499736,400,-0.0006192,0.0026022,400,-0.001176,0.0049067,400,0.0022031,-0.0020751,400,-5.4425502,3.0767164,400,13.0741272,-24.9744816
,406.25,-0.0036753,0.0980758,406.25,0.0019217,-0.0018873,406.25,0.0001303,-0.0032859,406.25,-0.0009337,0.0015204,406.25,4.9098964,1.0795026,406.25,-0.9454493,18.7884064
,412.5,0.0226912,-0.0319492,412.5,-0.0003934,0.0035062,412.5,0.0048372,0.0032144,412.5,-0.0026692,0.0004998,412.5,-3.7595975,6.4185486,412.5,-15.7233973,-28.6388073
,418.75,0.0016997,-0.0373158,418.75,0.0001778,-0.0058045,418.75,-0.0049481,-0.0030616,418.75,0.0045258,-0.0033808,418.75,1.9724672,-6.8884006,418.75,18.249548,27.7763271
,425,-0.0040823,0.136897,425,-0.0035008,0.0043904,425,-0.0032501,0.0010998,425,-0.0002567,0.0029943,425,-2.327843,-1.3575963,425,-3.7320278,10.6149178
,431.25,-0.0441685,-0.1016292,431.25,0.0036171,-0.0016498,431.25,0.0033512,-0.0012258,431.25,-0.0017943,0.0001693,431.25,4.8215418,-0.6629924,431.25,-5.5087304,-20.6022396
,437.5,-0.0077458,0.0360737,437.5,-0.0026797,-0.001801,437.5,0.0003628,-0.0002423,437.5,0.0000816,0.0000702,437.5,-3.7876627,4.9537072,437.5,-7.1778846,4.867496
,443.75,0.0846845,-0.0738531,443.75,0.0026002,0.0043139,443.75,-0.0006387,0.0024844,443.75,0.0005785,-0.0013448,443.75,0.0779248,-4.4226561,443.75,24.3238735,-2.8943939
,450,-0.0609476,0.0679058,450,0.0007356,-0.0066669,450,0.0017214,-0.0018533,450,-0.0003441,-0.0006512,450,1.1918221,3.6123428,450,-12.3787584,6.0845485
