C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_6_9.xdf,12.12.24,16:28:06,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,375,0.1572551,0.1786504,375,-0.0047964,0.0027649,375,-0.004208,0.0097097,375,0.0011008,-0.0015898,375,-27.3021374,-12.5574837,375,39.3632774,-69.9251709
,381.25,-0.2057233,-0.1350198,381.25,0.0052802,-0.0034062,381.25,0.0077992,-0.0081516,381.25,0.0000699,0.00123,381.25,34.4798126,23.7155228,381.25,-53.5352402,36.0202065
,387.5,0.1492849,-0.0670008,387.5,-0.0001806,-0.0000807,387.5,-0.00187,0.0013696,387.5,-0.0012125,-0.0001561,387.5,3.2230783,-28.3567238,387.5,19.8430691,-5.468214
,393.75,-0.0436605,0.0968788,393.75,-0.001369,0.005572,393.75,-0.00184,0.0044502,393.75,0.0006264,-0.0009899,393.75,-33.9110298,12.6179361,393.75,-1.2655005,1.2985443
,400,-0.1494829,-0.0136376,400,-0.0036504,-0.0065819,400,-0.0012084,-0.0038936,400,0.0007613,0.0011952,400,27.5809383,9.0198231,400,12.189992,-5.8216705
,406.25,0.2278771,-0.1058245,406.25,0.0062725,0.0058671,406.25,0.0034373,-0.0008615,406.25,-0.0010338,-0.0003108,406.25,-13.6029654,-19.3146248,406.25,-25.1039562,8.1466227
,412.5,-0.1265194,0.0856179,412.5,-0.0044998,-0.0028221,412.5,-0.0005437,0.0058647,412.5,-0.0004439,0.0005361,412.5,-0.4171781,27.3188038,412.5,30.6386185,-18.193243
,418.75,0.0001771,0.0107689,418.75,0.0000306,-0.0009817,418.75,-0.0037015,-0.0117303,418.75,0.0022767,-0.000419,418.75,17.704607,-36.6704483,418.75,-55.0006638,28.7860985
,425,0.0473209,0.007056,425,0.0047923,0.0007292,425,0.002652,0.0119713,425,-0.0014979,-0.0015133,425,-27.2516117,27.8220959,425,66.821228,-5.0125794
,431.25,0.0000574,-0.0290349,431.25,-0.006948,-0.0002142,431.25,0.0001242,-0.0060992,431.25,0.0003409,0.0021184,431.25,24.7923317,-2.208487,431.25,-64.2046356,-36.1458282
,437.5,-0.0325008,-0.023024,437.5,0.0089952,-0.0009754,437.5,0.003045,0.0023509,437.5,-0.0019921,-0.0022757,437.5,-24.577137,-6.4384661,437.5,70.7661133,25.7396164
,443.75,-0.0324333,0.0741644,443.75,-0.0134972,0.0013404,443.75,-0.0070767,0.0009288,443.75,0.000603,0.0014664,443.75,17.3416672,0.1136765,443.75,-36.3791847,-7.1221695
,450,0.0818108,-0.045305,450,0.0108508,0.0048642,450,0.0041522,0.0011542,450,0.0020032,-0.0001411,450,-4.4480081,-5.3675923,450,11.6122665,5.9258175
,456.25,-0.0378482,0.0148341,456.25,0.0002971,-0.0133191,456.25,0.0028283,-0.010956,456.25,0.0001946,0.0001061,456.25,2.9141521,22.599926,456.25,-57.8308372,37.6130371
,462.5,-0.0201722,-0.0306083,462.5,-0.0039038,0.0139924,462.5,-0.00653,0.0144167,462.5,-0.0039066,0.0000734,462.5,-1.0384557,-40.1659203,462.5,139.4458618,-79.0849762
,468.75,-0.0192303,0.0394593,468.75,0.0035336,-0.0031273,468.75,0.0071459,-0.0021874,468.75,0.0046829,-0.0006292,468.75,-2.9381001,34.0679169,468.75,-158.4576721,53.6083603
,475,0.3290496,-0.0016968,475,-0.0020874,-0.0076188,475,-0.0050876,-0.0085557,475,-0.0006276,0.0006692,475,2.6762419,-2.3179796,475,77.2180023,-3.7777827
,481.25,-0.597653,0.0178348,481.25,0.0000862,-0.0020431,481.25,0.0069698,-0.0007254,481.25,-0.0030065,-0.0004081,481.25,-22.9524975,-18.5772018,481.25,-12.800437,-14.910738
,487.5,0.4336231,-0.0912672,487.5,0.0062855,0.0330266,487.5,-0.0044951,0.0306678,487.5,-0.0010662,0.0011987,487.5,54.5153465,8.5420036,487.5,37.615345,17.6298389
,493.75,-0.0806921,-0.0154749,493.75,-0.0222015,-0.0569587,493.75,-0.0099273,-0.0570688,493.75,0.0090987,-0.0025884,493.75,-66.3288574,-2.9634821,493.75,-83.2162781,-40.1251755
,500,-0.1420168,0.1562541,500,0.0193763,0.0485118,500,0.0097223,0.0449631,500,-0.0124475,0.0032857,500,69.3608246,39.4948959,500,65.4174957,77.8617401
,506.25,0.061905,-0.0750692,506.25,-0.0035803,-0.0273389,506.25,-0.0008229,-0.0202527,506.25,0.0114082,0.0000625,506.25,-53.8592987,-80.5769501,506.25,-1.4121178,-92.7175903
,512.5,0.2071388,0.0456141,512.5,-0.001748,0.0158347,512.5,0.0012271,0.0120691,512.5,-0.0088208,-0.005206,512.5,21.2602367,82.9588623,512.5,-51.3076668,71.9089813
,518.75,-0.309883,-0.1121899,518.75,0.0033107,-0.0079393,518.75,-0.0023323,-0.0051093,518.75,0.0047691,0.0041211,518.75,-9.04708,-50.8172112,518.75,63.9960556,-22.116188
,525,0.1270247,0.0786858,525,-0.0030287,0.001585,525,-0.0008538,-0.0024586,525,0.0007867,0.000611,525,7.9122925,39.8306389,525,-49.5020866,-26.1317902
,531.25,0.0686673,-0.0541097,531.25,-0.0011829,0.0018793,531.25,0.001318,0.0031459,531.25,-0.0039716,0.0009476,531.25,-9.4596729,-34.4925804,531.25,43.0442772,20.5612907
,537.5,-0.0534447,0.0898736,537.5,0.0028932,-0.0000621,537.5,0.0026893,0.0015681,537.5,0.0015272,-0.0046117,537.5,16.7966499,-6.573451,537.5,-23.8989887,-1.2773621
,543.75,0.0165638,-0.1156108,543.75,-0.0012087,-0.0004963,543.75,-0.0029824,-0.0011524,543.75,0.0003961,0.000926,543.75,-10.5800524,12.0986185,543.75,1.2346096,19.370266
,550,-0.0276113,0.0623785,550,-0.0017068,-0.0018286,550,-0.0002252,-0.0019647,550,0.0010085,0.0014797,550,30.0980778,4.5020537,550,-8.7964973,-36.1086426
,556.25,-0.0597181,0.0136575,556.25,0.0052389,-0.0002425,556.25,0.0024514,0.0011076,556.25,-0.0013196,-0.000838,556.25,-69.2366714,-5.5315599,556.25,3.0527556,22.3120594
,562.5,0.0394269,-0.0124697,562.5,-0.0007861,-0.0004182,562.5,0.0006069,-0.0028698,562.5,-0.0009627,0.0032715,562.5,38.9190712,12.480422,562.5,41.7191391,8.0855856
,568.75,0.0732915,-0.0228649,568.75,-0.0038382,0.0035966,568.75,-0.0048391,0.0048004,568.75,0.0017836,-0.0028731,568.75,11.7052975,-22.4395428,568.75,-52.4317932,-27.6866016
,575,0.0143736,0.0375459,575,0.0038877,-0.0040959,575,0.0035836,-0.0018815,575,-0.0004056,0.0001888,575,-19.9745903,23.6907654,575,2.8985329,25.1855888
,581.25,-0.0515576,-0.0150764,581.25,-0.005564,0.0001208,581.25,0.0008202,-0.0039818,581.25,0.0001334,0.000901,581.25,21.0992508,-13.9278965,581.25,21.6207676,-3.6602483
,587.5,-0.0712834,0.0678134,587.5,0.0045707,0.0036094,587.5,-0.0020625,0.0066324,587.5,-0.0008099,0.0003037,587.5,-3.3046889,-0.6504587,587.5,-5.4209909,-3.7775061
,593.75,0.077536,-0.1319039,593.75,-0.0040656,-0.0011618,593.75,-0.000314,-0.0047715,593.75,0.0001107,-0.0024942,593.75,-9.4651756,2.0045209,593.75,-18.4104156,-9.2793884
,600,-0.0197355,0.0885804,600,0.0035436,0.0007679,600,-0.0004632,0.0050564,600,0.0022521,0.0023482,600,-5.8564925,20.9785042,600,34.8514137,19.8178215
,606.25,0.014295,-0.1336495,606.25,0.0017822,0.0000269,606.25,0.0044982,-0.003568,606.25,-0.0029047,-0.0024026,606.25,4.6392999,-31.9896774,606.25,-17.4210911,-30.5255852
,612.5,0.032243,0.2528658,612.5,-0.0006404,-0.002677,612.5,-0.0046836,0.0012412,612.5,0.0027055,0.0020446,612.5,-12.3269033,28.6398029,612.5,9.954565,11.8655968
,618.75,-0.2264276,-0.1706626,618.75,-0.0059859,-0.0005049,618.75,0.0020192,-0.0021852,618.75,-0.0022601,-0.0003665,618.75,35.2870598,-20.025404,618.75,-39.1515236,11.1335735
,625,0.378731,-0.0699699,625,0.0028899,0.0043265,625,-0.0030471,0.0001475,625,0.0011284,0.0017641,625,-23.9339142,2.4386668,625,59.0684891,20.887785
,631.25,-0.285175,0.0940454,631.25,0.0098607,-0.0070534,631.25,0.0080643,0.0001614,631.25,-0.0037109,-0.000159,631.25,3.6618204,0.6115771,631.25,-45.2079048,-61.6427498
,637.5,0.1381809,-0.0401564,637.5,-0.017856,0.0074545,637.5,-0.0117975,0.0007394,637.5,0.006492,-0.0031618,637.5,0.1928123,6.2574449,637.5,7.8398542,58.0965805
,643.75,-0.0094969,0.0547433,643.75,0.0119652,0.0001112,643.75,0.0077897,0.0023591,643.75,-0.0045314,0.0006927,643.75,-0.9893043,-5.5987468,643.75,15.7751093,-27.1294022
,650,-0.0110309,0.056188,650,-0.0025173,-0.0048024,650,-0.0010245,-0.0016483,650,0.0026695,0.0000091,650,1.6190282,6.6289721,650,-11.3698263,-3.7855563
,656.25,-0.0920068,-0.1070959,656.25,-0.0039326,0.0012587,656.25,-0.0021158,-0.0006714,656.25,-0.0013204,0.000595,656.25,-1.6168087,-4.2560387,656.25,-5.2618251,8.0928526
,662.5,0.0992656,0.0116948,662.5,0.0062148,0.0039325,662.5,0.0027647,0.0011822,662.5,-0.0021737,0.0012494,662.5,0.4999014,-4.4735379,662.5,16.5687199,19.1348934
,668.75,-0.0638858,0.1339486,668.75,-0.0026142,-0.0059351,668.75,-0.001822,-0.0005713,668.75,0.0037759,-0.0017506,668.75,-1.9527797,6.8203673,668.75,-4.9393492,-36.0046692
,675,0.0013503,-0.1627448,675,0.0009875,0.0043165,675,0.002156,-0.0021631,675,-0.0027879,0.0036593,675,3.5589464,-6.3416395,675,-15.8319197,31.3460236
,681.25,0.069648,0.138139,681.25,-0.0013697,-0.0056774,681.25,-0.0042491,0.0005238,681.25,0.0050173,-0.0050139,681.25,3.6608253,3.8270812,681.25,27.7032375,-26.6479702
,687.5,-0.0091015,-0.2014783,687.5,-0.0010969,0.0078739,687.5,0.0053593,0.0035993,687.5,-0.0075331,0.0028476,687.5,-16.9007454,-3.5744183,687.5,-40.8949585,26.7423172
,693.75,-0.0649724,0.091639,693.75,0.0024322,-0.0037922,693.75,-0.0024503,-0.0015439,693.75,0.001479,-0.0034289,693.75,16.39785,7.2855763,693.75,52.6065445,-39.9381218
,700,-0.0113778,0.0343605,700,0.0012892,0.0008867,700,0.0005932,-0.0016791,700,0.0041606,0.0071079,700,1.4458792,-8.3551559,700,-50.929882,38.2527351
,706.25,0.1032526,0.0782651,706.25,-0.005887,-0.001952,706.25,-0.0034576,0.0001808,706.25,-0.0034354,-0.0065986,706.25,-8.1508484,9.4096842,706.25,31.3419399,-2.3049898
